query,rank,video_id,title,score
What is the bias variance tradeoff?,4,4iuepdI3wCU,"Charan Ranganath: Human Memory, Imagination, Deja Vu, and False Memories | Lex Fridman Podcast 430",0.14021366834640503
What is the bias variance tradeoff?,5,_tg9F5_P3CY,Ray Dalio: Idea Meritocracy | AI Podcast Clips,0.11670073866844177
What are neural networks?,1,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast 333",0.5366500020027161
What are neural networks?,2,DKyzcbNr8WE,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast 76,0.4827638566493988
What are neural networks?,3,fjIhFzTUB9I,"Bjarne Stroustrup: Deep Learning, Software 2.0, and Fuzzy Programming",0.4480926990509033
What are neural networks?,4,xoVibFYi1Gs,Language or Vision - What&39;s Harder? (Ilya Sutskever) | AI Podcast Clips,0.4227059483528137
What are neural networks?,5,1soLVufJWLU,Elon Musk: Perception vs Control - What&39;s Harder?,0.41804730892181396
How does backpropagation work?,1,DKyzcbNr8WE,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast 76,0.37714463472366333
How does backpropagation work?,2,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast 333",0.34108537435531616
How does backpropagation work?,3,1soLVufJWLU,Elon Musk: Perception vs Control - What&39;s Harder?,0.2700483798980713
How does backpropagation work?,4,6CTJMx64Vbw,Elon Musk: Understanding the Human Brain at Neuralink,0.26012060046195984
How does backpropagation work?,5,1k37OcjH7BM,Andrew Ng: Advice on Getting Started in Deep Learning | AI Podcast Clips,0.2597006857395172
What is deep learning?,1,fjIhFzTUB9I,"Bjarne Stroustrup: Deep Learning, Software 2.0, and Fuzzy Programming",0.5719812512397766
What is deep learning?,2,DKyzcbNr8WE,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast 76,0.46096041798591614
What is deep learning?,3,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast 333",0.4398455023765564
What is deep learning?,4,_1f-o0nqpEI,"DeepSeek, China, OpenAI, NVIDIA, xAI, TSMC, Stargate, and AI Megaclusters | Lex Fridman Podcast 459",0.42828282713890076
What is deep learning?,5,xoVibFYi1Gs,Language or Vision - What&39;s Harder? (Ilya Sutskever) | AI Podcast Clips,0.4111402928829193
How do transformers work?,1,6CTJMx64Vbw,Elon Musk: Understanding the Human Brain at Neuralink,0.21806737780570984
How do transformers work?,2,8EguLJgkc54,Chris Voss: FBI Hostage Negotiator | Lex Fridman Podcast 364,0.2078271508216858
How do transformers work?,3,-HzgcbRXUK8,"Demis Hassabis: Future of AI, Simulating Reality, Physics and Video Games | Lex Fridman Podcast 475",0.19848021864891052
How do transformers work?,4,YDjOS0VHEr4,Neil Gershenfeld: Self-Replicating Robots and the Future of Fabrication | Lex Fridman Podcast 380,0.1763075590133667
How do transformers work?,5,9V6tWC4CdFQ,Sundar Pichai: CEO of Google and Alphabet | Lex Fridman Podcast 471,0.17537420988082886
What is attention in neural networks?,1,6CTJMx64Vbw,Elon Musk: Understanding the Human Brain at Neuralink,0.3974997401237488
What is attention in neural networks?,2,DKyzcbNr8WE,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast 76,0.373342365026474
What is attention in neural networks?,3,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast 333",0.34791308641433716
What is attention in neural networks?,4,xoVibFYi1Gs,Language or Vision - What&39;s Harder? (Ilya Sutskever) | AI Podcast Clips,0.3361333906650543
What is attention in neural networks?,5,aGBLRlLe7X8,Oriol Vinyals: Deep Learning and Artificial General Intelligence | Lex Fridman Podcast 306,0.2977706789970398
What is a convolutional neural network?,1,DKyzcbNr8WE,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast 76,0.40076178312301636
What is a convolutional neural network?,2,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast 333",0.3875478208065033
What is a convolutional neural network?,3,fjIhFzTUB9I,"Bjarne Stroustrup: Deep Learning, Software 2.0, and Fuzzy Programming",0.3562867045402527
What is a convolutional neural network?,4,xoVibFYi1Gs,Language or Vision - What&39;s Harder? (Ilya Sutskever) | AI Podcast Clips,0.3460414409637451
What is a convolutional neural network?,5,ABbDB6xri8o,Tesla AI Day Highlights | Lex Fridman,0.29259008169174194
What are large language models?,1,U5OD8MjYnOM,"Wojciech Zaremba: OpenAI Codex, GPT-3, Robotics, and the Future of AI | Lex Fridman Podcast 215",0.33672571182250977
What are large language models?,2,MRcrJHxhWMY,Noam Chomsky: Deepest Property of Language,0.31575530767440796
What are large language models?,3,YDjOS0VHEr4,Neil Gershenfeld: Self-Replicating Robots and the Future of Fabrication | Lex Fridman Podcast 380,0.2922728657722473
What are large language models?,4,xoVibFYi1Gs,Language or Vision - What&39;s Harder? (Ilya Sutskever) | AI Podcast Clips,0.2878418564796448
What are large language models?,5,uTxRF5ag27A,Bjarne Stroustrup: C++ | Lex Fridman Podcast 48,0.28576338291168213
How do neural networks learn patterns?,1,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast 333",0.43663933873176575
How do neural networks learn patterns?,2,DKyzcbNr8WE,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast 76,0.4321640729904175
How do neural networks learn patterns?,3,1k37OcjH7BM,Andrew Ng: Advice on Getting Started in Deep Learning | AI Podcast Clips,0.3992224931716919
How do neural networks learn patterns?,4,1soLVufJWLU,Elon Musk: Perception vs Control - What&39;s Harder?,0.3843647539615631
How do neural networks learn patterns?,5,6CTJMx64Vbw,Elon Musk: Understanding the Human Brain at Neuralink,0.3660695552825928
What is a feedforward network?,1,1YbcB6b4A2U,Bryan Johnson: Kernel Brain-Computer Interfaces | Lex Fridman Podcast 186,0.35366886854171753
What is a feedforward network?,2,DKyzcbNr8WE,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast 76,0.3442309498786926
What is a feedforward network?,3,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast 333",0.3100009858608246
What is a feedforward network?,4,kxi-_TT_-Nc,Sergey Levine: Robotics and Machine Learning | Lex Fridman Podcast 108,0.29864153265953064
What is a feedforward network?,5,_1f-o0nqpEI,"DeepSeek, China, OpenAI, NVIDIA, xAI, TSMC, Stargate, and AI Megaclusters | Lex Fridman Podcast 459",0.29569876194000244
What is a recurrent neural network?,1,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast 333",0.3921038508415222
What is a recurrent neural network?,2,DKyzcbNr8WE,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast 76,0.3656456470489502
What is a recurrent neural network?,3,fjIhFzTUB9I,"Bjarne Stroustrup: Deep Learning, Software 2.0, and Fuzzy Programming",0.2872307300567627
What is a recurrent neural network?,4,aGBLRlLe7X8,Oriol Vinyals: Deep Learning and Artificial General Intelligence | Lex Fridman Podcast 306,0.2868887782096863
What is a recurrent neural network?,5,Kbk9BiPhm7o,Elon Musk: Neuralink and the Future of Humanity | Lex Fridman Podcast 438,0.27746719121932983
What is artificial general intelligence?,1,3wMKoSRbGVs,Douglas Lenat: Cyc and the Quest to Solve Common Sense Reasoning in AI | Lex Fridman Podcast 221,0.49985504150390625
What is artificial general intelligence?,2,PdE-waSx-d8,"Stephen Wolfram: ChatGPT and the Nature of Truth, Reality &amp; Computation | Lex Fridman Podcast 376",0.4432191848754883
What is artificial general intelligence?,3,_1f-o0nqpEI,"DeepSeek, China, OpenAI, NVIDIA, xAI, TSMC, Stargate, and AI Megaclusters | Lex Fridman Podcast 459",0.44200387597084045
What is artificial general intelligence?,4,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast 333",0.43754005432128906
What is artificial general intelligence?,5,EV7WhVT270Q,"State of AI in 2026: LLMs, Coding, Scaling Laws, China, Agents, GPUs, AGI | Lex Fridman Podcast 490",0.4285389184951782
What is AI alignment?,1,wMavKrA-4do,Manolis Kellis: Evolution of Human Civilization and Superintelligent AI | Lex Fridman Podcast 373,0.4740700125694275
What is AI alignment?,2,_1f-o0nqpEI,"DeepSeek, China, OpenAI, NVIDIA, xAI, TSMC, Stargate, and AI Megaclusters | Lex Fridman Podcast 459",0.4506164789199829
What is AI alignment?,3,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast 333",0.40734124183654785
What is AI alignment?,4,xoVibFYi1Gs,Language or Vision - What&39;s Harder? (Ilya Sutskever) | AI Podcast Clips,0.3893679082393646
What is AI alignment?,5,oFfVt3S51T4,Cursor Team: Future of Programming with AI | Lex Fridman Podcast 447,0.3845916986465454
What are the dangers of artificial intelligence?,1,NNr6gPelJ3E,Roman Yampolskiy: Dangers of Superintelligent AI | Lex Fridman Podcast 431,0.560144305229187
What are the dangers of artificial intelligence?,2,5t1vTLU7s40,"Yann Lecun: Meta AI, Open Source, Limits of LLMs, AGI &amp; the Future of AI | Lex Fridman Podcast 416",0.5588078498840332
What are the dangers of artificial intelligence?,3,PdE-waSx-d8,"Stephen Wolfram: ChatGPT and the Nature of Truth, Reality &amp; Computation | Lex Fridman Podcast 376",0.48255401849746704
What are the dangers of artificial intelligence?,4,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast 333",0.44995731115341187
What are the dangers of artificial intelligence?,5,_1f-o0nqpEI,"DeepSeek, China, OpenAI, NVIDIA, xAI, TSMC, Stargate, and AI Megaclusters | Lex Fridman Podcast 459",0.43275266885757446
What is AI safety research?,1,wMavKrA-4do,Manolis Kellis: Evolution of Human Civilization and Superintelligent AI | Lex Fridman Podcast 373,0.5151124000549316
What is AI safety research?,2,PdE-waSx-d8,"Stephen Wolfram: ChatGPT and the Nature of Truth, Reality &amp; Computation | Lex Fridman Podcast 376",0.5135751962661743
What is AI safety research?,3,5t1vTLU7s40,"Yann Lecun: Meta AI, Open Source, Limits of LLMs, AGI &amp; the Future of AI | Lex Fridman Podcast 416",0.5093353390693665
What is AI safety research?,4,_1f-o0nqpEI,"DeepSeek, China, OpenAI, NVIDIA, xAI, TSMC, Stargate, and AI Megaclusters | Lex Fridman Podcast 459",0.484391450881958
What is AI safety research?,5,NNr6gPelJ3E,Roman Yampolskiy: Dangers of Superintelligent AI | Lex Fridman Podcast 431,0.4534882605075836
How will AI impact society?,1,5t1vTLU7s40,"Yann Lecun: Meta AI, Open Source, Limits of LLMs, AGI &amp; the Future of AI | Lex Fridman Podcast 416",0.5842954516410828
How will AI impact society?,2,M95m2EFb7IQ,"Ray Dalio: Principles, the Economic Machine, AI &amp; the Arc of Life | Lex Fridman Podcast 54",0.5033108592033386
How will AI impact society?,3,_1f-o0nqpEI,"DeepSeek, China, OpenAI, NVIDIA, xAI, TSMC, Stargate, and AI Megaclusters | Lex Fridman Podcast 459",0.4909372925758362
How will AI impact society?,4,ugvHCXCOmm4,"Dario Amodei: Anthropic CEO on Claude, AGI &amp; the Future of AI &amp; Humanity | Lex Fridman Podcast 452",0.48714613914489746
How will AI impact society?,5,nXwpiPybr0Q,Jack Dorsey: Yang Gang Forever | AI Podcast Clips,0.48444923758506775
What are current AI research challenges?,1,_1f-o0nqpEI,"DeepSeek, China, OpenAI, NVIDIA, xAI, TSMC, Stargate, and AI Megaclusters | Lex Fridman Podcast 459",0.5469393134117126
What are current AI research challenges?,2,ABbDB6xri8o,Tesla AI Day Highlights | Lex Fridman,0.49977266788482666
What are current AI research challenges?,3,EV7WhVT270Q,"State of AI in 2026: LLMs, Coding, Scaling Laws, China, Agents, GPUs, AGI | Lex Fridman Podcast 490",0.4986122250556946
What are current AI research challenges?,4,U5OD8MjYnOM,"Wojciech Zaremba: OpenAI Codex, GPT-3, Robotics, and the Future of AI | Lex Fridman Podcast 215",0.47697824239730835
What are current AI research challenges?,5,PdE-waSx-d8,"Stephen Wolfram: ChatGPT and the Nature of Truth, Reality &amp; Computation | Lex Fridman Podcast 376",0.47335973381996155
Can AI become conscious?,1,BCdV6BMMpOo,"Philip Goff: Consciousness, Panpsychism, and the Philosophy of Mind | Lex Fridman Podcast 261",0.507433295249939
Can AI become conscious?,2,6ePR2TWYVkI,Lex Fridman: Ask Me Anything - AMA January 2021 | Lex Fridman Podcast,0.5030893087387085
Can AI become conscious?,3,1YbcB6b4A2U,Bryan Johnson: Kernel Brain-Computer Interfaces | Lex Fridman Podcast 186,0.41293132305145264
Can AI become conscious?,4,_1f-o0nqpEI,"DeepSeek, China, OpenAI, NVIDIA, xAI, TSMC, Stargate, and AI Megaclusters | Lex Fridman Podcast 459",0.4088609218597412
Can AI become conscious?,5,wMavKrA-4do,Manolis Kellis: Evolution of Human Civilization and Superintelligent AI | Lex Fridman Podcast 373,0.39441174268722534
What is the future of artificial intelligence?,1,ugvHCXCOmm4,"Dario Amodei: Anthropic CEO on Claude, AGI &amp; the Future of AI &amp; Humanity | Lex Fridman Podcast 452",0.5872200727462769
What is the future of artificial intelligence?,2,UbOjufRmpq4,Advice for beginner programmers,0.5467970967292786
What is the future of artificial intelligence?,3,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast 333",0.5071220397949219
What is the future of artificial intelligence?,4,aGBLRlLe7X8,Oriol Vinyals: Deep Learning and Artificial General Intelligence | Lex Fridman Podcast 306,0.4971616566181183
What is the future of artificial intelligence?,5,5t1vTLU7s40,"Yann Lecun: Meta AI, Open Source, Limits of LLMs, AGI &amp; the Future of AI | Lex Fridman Podcast 416",0.49365225434303284
How do large AI models work?,1,1k37OcjH7BM,Andrew Ng: Advice on Getting Started in Deep Learning | AI Podcast Clips,0.4628967046737671
How do large AI models work?,2,1soLVufJWLU,Elon Musk: Perception vs Control - What&39;s Harder?,0.44601204991340637
How do large AI models work?,3,_1f-o0nqpEI,"DeepSeek, China, OpenAI, NVIDIA, xAI, TSMC, Stargate, and AI Megaclusters | Lex Fridman Podcast 459",0.4451512098312378
How do large AI models work?,4,ABbDB6xri8o,Tesla AI Day Highlights | Lex Fridman,0.4298919439315796
How do large AI models work?,5,EV7WhVT270Q,"State of AI in 2026: LLMs, Coding, Scaling Laws, China, Agents, GPUs, AGI | Lex Fridman Podcast 490",0.4224579930305481
What are the limitations of AI systems?,1,1soLVufJWLU,Elon Musk: Perception vs Control - What&39;s Harder?,0.5520057082176208
What are the limitations of AI systems?,2,PdE-waSx-d8,"Stephen Wolfram: ChatGPT and the Nature of Truth, Reality &amp; Computation | Lex Fridman Podcast 376",0.510343074798584
What are the limitations of AI systems?,3,_1f-o0nqpEI,"DeepSeek, China, OpenAI, NVIDIA, xAI, TSMC, Stargate, and AI Megaclusters | Lex Fridman Podcast 459",0.47721773386001587
What are the limitations of AI systems?,4,ABbDB6xri8o,Tesla AI Day Highlights | Lex Fridman,0.4723525643348694
What are the limitations of AI systems?,5,5t1vTLU7s40,"Yann Lecun: Meta AI, Open Source, Limits of LLMs, AGI &amp; the Future of AI | Lex Fridman Podcast 416",0.461381733417511
What is reinforcement learning?,1,e77NkSjnyH4,"AlphaZero and Self Play (David Silver, DeepMind) | AI Podcast Clips",0.3731764256954193
What is reinforcement learning?,2,1soLVufJWLU,Elon Musk: Perception vs Control - What&39;s Harder?,0.36630457639694214
What is reinforcement learning?,3,xoVibFYi1Gs,Language or Vision - What&39;s Harder? (Ilya Sutskever) | AI Podcast Clips,0.36321696639060974
What is reinforcement learning?,4,EV7WhVT270Q,"State of AI in 2026: LLMs, Coding, Scaling Laws, China, Agents, GPUs, AGI | Lex Fridman Podcast 490",0.3591908812522888
What is reinforcement learning?,5,kxi-_TT_-Nc,Sergey Levine: Robotics and Machine Learning | Lex Fridman Podcast 108,0.3574218153953552
How do reinforcement learning agents learn?,1,EV7WhVT270Q,"State of AI in 2026: LLMs, Coding, Scaling Laws, China, Agents, GPUs, AGI | Lex Fridman Podcast 490",0.42830631136894226
How do reinforcement learning agents learn?,2,1soLVufJWLU,Elon Musk: Perception vs Control - What&39;s Harder?,0.4227146506309509
How do reinforcement learning agents learn?,3,1k37OcjH7BM,Andrew Ng: Advice on Getting Started in Deep Learning | AI Podcast Clips,0.4180923104286194
How do reinforcement learning agents learn?,4,e77NkSjnyH4,"AlphaZero and Self Play (David Silver, DeepMind) | AI Podcast Clips",0.4103347063064575
How do reinforcement learning agents learn?,5,YFjfBk8HI5o,OpenClaw: The Viral AI Agent that Broke the Internet - Peter Steinberger | Lex Fridman Podcast 491,0.3602537512779236
What is a reward function?,1,kxi-_TT_-Nc,Sergey Levine: Robotics and Machine Learning | Lex Fridman Podcast 108,0.2538423240184784
What is a reward function?,2,tNZnLkRBYA8,"ThePrimeagen: Programming, AI, ADHD, Productivity, Addiction, and God | Lex Fridman Podcast 461",0.2411106824874878
What is a reward function?,3,8mixT5_U0hk,Happiness is a cookie that your brain bakes for itself (Joscha Bach) | AI Podcast Clips,0.2340884804725647
What is a reward function?,4,A22Ej6kb2wo,"Russ Tedrake: Underactuated Robotics, Control, Dynamics and Touch | Lex Fridman Podcast 114",0.19037140905857086
What is a reward function?,5,DKyzcbNr8WE,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast 76,0.18256554007530212
What is policy optimization?,1,k8Zomsf3uBI,You Are Your Own Existence Proof (Karl Friston) | AI Podcast Clips with Lex Fridman,0.31429481506347656
What is policy optimization?,2,1soLVufJWLU,Elon Musk: Perception vs Control - What&39;s Harder?,0.2968440651893616
What is policy optimization?,3,ABbDB6xri8o,Tesla AI Day Highlights | Lex Fridman,0.2614859342575073
What is policy optimization?,4,DTPSeeKokdo,"Ezra Klein and Derek Thompson: Politics, Trump, AOC, Elon &amp; DOGE | Lex Fridman Podcast 462",0.26112866401672363
What is policy optimization?,5,e77NkSjnyH4,"AlphaZero and Self Play (David Silver, DeepMind) | AI Podcast Clips",0.2491874098777771
What is Q learning?,1,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast 333",0.35608208179473877
What is Q learning?,2,kxi-_TT_-Nc,Sergey Levine: Robotics and Machine Learning | Lex Fridman Podcast 108,0.34449324011802673
What is Q learning?,3,1k37OcjH7BM,Andrew Ng: Advice on Getting Started in Deep Learning | AI Podcast Clips,0.3415057063102722
What is Q learning?,4,DKyzcbNr8WE,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast 76,0.3190254271030426
What is Q learning?,5,EV7WhVT270Q,"State of AI in 2026: LLMs, Coding, Scaling Laws, China, Agents, GPUs, AGI | Lex Fridman Podcast 490",0.31189262866973877
What is exploration vs exploitation?,1,8EguLJgkc54,Chris Voss: FBI Hostage Negotiator | Lex Fridman Podcast 364,0.3067624568939209
What is exploration vs exploitation?,2,e77NkSjnyH4,"AlphaZero and Self Play (David Silver, DeepMind) | AI Podcast Clips",0.3056678771972656
What is exploration vs exploitation?,3,s1oTH4Sjvzg,"Vejas Liulevicius: Communism, Marxism, Nazism, Stalin, Mao, and Hitler | Lex Fridman Podcast 444",0.29737788438796997
What is exploration vs exploitation?,4,1soLVufJWLU,Elon Musk: Perception vs Control - What&39;s Harder?,0.2940881848335266
What is exploration vs exploitation?,5,MRcrJHxhWMY,Noam Chomsky: Deepest Property of Language,0.28450632095336914
How does AlphaGo work?,1,e77NkSjnyH4,"AlphaZero and Self Play (David Silver, DeepMind) | AI Podcast Clips",0.3201269805431366
How does AlphaGo work?,2,DKyzcbNr8WE,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast 76,0.2192872166633606
How does AlphaGo work?,3,-HzgcbRXUK8,"Demis Hassabis: Future of AI, Simulating Reality, Physics and Video Games | Lex Fridman Podcast 475",0.17898312211036682
How does AlphaGo work?,4,J48bm21q8_A,Barry Barish: Gravitational Waves and the Most Precise Device Ever Built | Lex Fridman Podcast 213,0.1776798516511917
How does AlphaGo work?,5,kxi-_TT_-Nc,Sergey Levine: Robotics and Machine Learning | Lex Fridman Podcast 108,0.1769765466451645
What is deep reinforcement learning?,1,fjIhFzTUB9I,"Bjarne Stroustrup: Deep Learning, Software 2.0, and Fuzzy Programming",0.425296425819397
What is deep reinforcement learning?,2,kxi-_TT_-Nc,Sergey Levine: Robotics and Machine Learning | Lex Fridman Podcast 108,0.4201202690601349
